index,id,gender,year,major_type,major_color,style,country
0,15970,Men,2010,Shirts,Navy Blue,田园风服装,United States of America
1,39386,Men,2009,Jeans,Blue,简约风服装,Brazil
2,59263,Women,2016,Watches,Silver,田园风服装,Spain
3,21379,Men,2019,Track Pants,Black,简约风服装,Spain
4,53759,Men,2018,Tshirts,Grey,嘻哈风服装,Australia
5,1855,Men,2009,Tshirts,Grey,嘻哈风服装,Canada
6,30805,Men,2012,Shirts,Green,嘻哈风服装,Argentina
7,26960,Women,2019,Shirts,Purple,韩版系服装,Russia
8,29114,Men,2018,Socks,Navy Blue,简约风服装,United States of America
9,30039,Men,2016,Watches,Black,朋克风服装,India
10,9204,Men,2018,Casual Shoes,Black,朋克风服装,India
11,48123,Women,2019,Belts,Black,朋克风服装,South Africa
12,18653,Men,2014,Flip Flops,Black,朋克风服装,Japan
13,47957,Women,2010,Handbags,Blue,田园风服装,Italy
14,46885,Boys,2018,Flip Flops,Navy Blue,民族风服装,Canada
15,12369,Men,2011,Shirts,Purple,欧美风服装,United States of America
16,29928,Men,2016,Watches,Black,嘻哈风服装,China
17,42419,Girls,2010,Tops,White,民族风服装,United States of America
18,51832,Women,2016,Bra,Beige,简约风服装,Canada
19,47359,Women,2019,Handbags,Brown,简约风服装,Russia
20,17429,Men,2016,Watches,Black,田园风服装,Mexico
21,12967,Men,2010,Sandals,Black,朋克风服装,United States of America
22,6842,Unisex,2010,Shoe Accessories,Black,民族风服装,United States of America
23,13089,Men,2018,Sweatshirts,Grey,通勤风服装,South Africa
24,18461,Men,2017,Deodorant,White,洛丽塔风服装,United States of America
25,9036,Men,2019,Formal Shoes,Black,朋克风服装,China
26,48311,Women,2019,Bracelet,Bronze,朋克风服装,Argentina
27,7990,Men,2009,Tshirts,Navy Blue,简约风服装,Canada
28,56019,Women,2017,Lipstick,Brown,通勤风服装,United States of America
29,21977,Women,2015,Handbags,Brown,田园风服装,Australia
30,37812,Men,2013,Shirts,Navy Blue,简约风服装,Argentina
31,4729,Boys,2018,Tshirts,Green,可爱系服装,Russia
32,56825,Men,2012,Shirts,Brown,简约风服装,India
33,39988,Men,2014,Casual Shoes,White,街头风服装,South Africa
34,59051,Women,2013,Flats,Black,朋克风服装,Australia
35,20099,Women,2010,Kurtas,Green,民族风服装,Russia
36,58183,Women,2017,Handbags,White,田园风服装,Italy
37,29742,Women,2019,Handbags,Teal,田园风服装,Germany
38,51658,Women,2016,Watches,Copper,田园风服装,United States of America
39,3954,Women,2019,Tshirts,Pink,民族风服装,United States of America
40,18839,Men,2019,Belts,Black,田园风服装,Russia
41,2886,Women,2015,Flats,Brown,通勤风服装,South Africa
42,23278,Men,2016,Watches,Off White,田园风服装,Australia
43,28690,Women,2019,Kurtas,Beige,田园风服装,China
44,8580,Men,2010,Waistcoat,Grey,简约风服装,Korea
45,3168,Men,2010,Sports Shoes,White,朋克风服装,Canada
46,18005,Men,2011,Shorts,Black,嘻哈风服装,India
47,17871,Men,2016,Briefs,Maroon,民族风服装,China
48,9452,Men,2019,Shirts,Red,通勤风服装,France
49,38402,Women,2017,Belts,Black,民族风服装,Brazil
50,44984,Women,2012,Watches,White,田园风服装,France
51,10268,Men,2009,Formal Shoes,Black,简约风服装,Brazil
52,45856,Women,2012,Kurtas,Brown,中性风服装,United States of America
53,32138,Men,2013,Briefs,Blue,简约风服装,China
54,59435,Men,2018,Formal Shoes,Black,朋克风服装,Italy
55,5891,Men,2019,Tshirts,Black,朋克风服装,Canada
56,38630,Women,2012,Tshirts,Purple,民族风服装,United States of America
57,4943,Men,2014,Shirts,White,田园风服装,Argentina
58,11188,Men,2012,Watches,Silver,嘻哈风服装,Singapore
59,10866,Men,2009,Tshirts,Red,简约风服装,Germany
60,59607,Women,2012,Sarees,Grey,简约风服装,Russia
61,15528,Men,2018,Tshirts,Black,嘻哈风服装,India
62,45258,Men,2016,Watches,Black,学院风服装,France
63,42841,Women,2010,Handbags,Beige,田园风服装,United States of America
64,22198,Men,2017,Casual Shoes,Black,民族风服装,Argentina
65,29570,Men,2010,Casual Shoes,Purple,简约风服装,Korea
66,43993,Women,2017,Perfume and Body Mist,Pink,民族风服装,Canada
67,6628,Men,2018,Sports Shoes,White,嘻哈风服装,Canada
68,54924,Men,2012,Shorts,Blue,简约风服装,Canada
69,26538,Men,2018,Casual Shoes,Red,民族风服装,Thailand
70,35913,Women,2014,Handbags,Black,田园风服装,Russia
71,49495,Men,2014,Casual Shoes,Khaki,朋克风服装,United States of America
72,9660,Men,2019,Shirts,Pink,通勤风服装,United States of America
73,2288,Women,2010,Tshirts,Black,嘻哈风服装,Germany
74,23876,Men,2019,Sweatshirts,Blue,简约风服装,United States of America
75,18237,Men,2014,Tshirts,Red,简约风服装,Thailand
76,54118,Women,2012,Heels,Black,朋克风服装,Argentina
77,2872,Women,2015,Heels,Brown,通勤风服装,Australia
78,49653,Women,2009,Tops,Green,简约风服装,South Africa
79,8574,Women,2011,Sandals,Pink,民族风服装,China
80,16957,Men,2016,Sunglasses,Black,田园风服装,Germany
81,19123,Men,2018,Flip Flops,Silver,民族风服装,Brazil
82,13419,Men,2019,Tshirts,Pink,简约风服装,Russia
83,17885,Men,2016,Innerwear Vests,Grey,简约风服装,China
84,43369,Men,2013,Flip Flops,Black,通勤风服装,Italy
85,48781,Women,2013,Pendant,Silver,田园风服装,Canada
86,44970,Men,2013,Watches,White,田园风服装,United States of America
87,56489,Women,2017,Nail Polish,Bronze,田园风服装,Germany
88,39524,Unisex,2015,Laptop Bag,Orange,简约风服装,United States of America
89,33822,Men,2018,Sports Shoes,White,嘻哈风服装,China
90,58513,Women,2015,Tops,Off White,民族风服装,Brazil
91,25947,Women,2009,Scarves,Brown,朋克风服装,Singapore
92,52029,Unisex,2018,Rain Jacket,Coffee Brown,嘻哈风服装,Canada
93,5865,Men,2011,Tshirts,Black,嘻哈风服装,United States of America
94,39716,Women,2009,Dresses,Blue,通勤风服装,United States of America
95,25349,Men,2016,Briefs,Red,民族风服装,United States of America
96,11940,Men,2014,Sandals,Black,朋克风服装,India
97,55802,Women,2017,Night suits,White,田园风服装,Russia
98,29584,Men,2018,Tshirts,Black,嘻哈风服装,Germany
99,43967,Women,2017,Perfume and Body Mist,Red,洛丽塔风服装,Russia
100,28456,Women,2018,Skirts,Blue,简约风服装,Australia
101,34009,Girls,2015,Tops,Black,简约风服装,India
102,19311,Men,2014,Casual Shoes,White,民族风服装,China
103,42089,Men,2015,Sports Shoes,White,简约风服装,Brazil
104,22950,Unisex,2016,Watches,Black,嘻哈风服装,United States of America
105,49461,Men,2013,Casual Shoes,Blue,朋克风服装,India
106,8746,Unisex,2015,Flip Flops,Navy Blue,朋克风服装,France
107,9694,Men,2019,Tshirts,White,简约风服装,India
108,23882,Men,2014,Sports Shoes,Grey,街头风服装,Brazil
109,34835,Men,2017,Sports Shoes,Blue,通勤风服装,Australia
110,15984,Men,2011,Shirts,Yellow,简约风服装,Brazil
111,41268,Men,2010,Wallets,Black,田园风服装,South Africa
112,11518,Women,2015,Heels,Grey,民族风服装,China
113,14856,Women,2011,Wallets,Beige,田园风服装,India
114,33648,Men,2019,Sandals,Brown,民族风服装,France
115,59297,Men,2009,Shirts,White,通勤风服装,Thailand
116,28032,Men,2016,Briefs,White,简约风服装,Spain
117,27846,Women,2015,Blazers,Charcoal,简约风服装,Russia
118,26994,Women,2010,Jeans,Black,简约风服装,Korea
119,49839,Women,2010,Flip Flops,Red,通勤风服装,Mexico
120,31923,Women,2013,Handbags,Blue,民族风服装,Brazil
121,2618,Women,2010,Flats,Silver,朋克风服装,India
122,54588,Women,2018,Kurtas,Green,民族风服装,Brazil
123,49005,Women,2015,Ring,Silver,民族风服装,Russia
124,8322,Boys,2010,Tshirts,Blue,民族风服装,Brazil
125,13841,Unisex,2013,Watches,White,田园风服装,Spain
126,28200,Men,2016,Sunglasses,Copper,中性风服装,Korea
127,12993,Unisex,2011,Sports Shoes,Black,洛丽塔风服装,China
128,7158,Men,2018,Shirts,Green,田园风服装,Russia
129,18495,Men,2018,Sandals,White,朋克风服装,United States of America
130,8110,Men,2016,Watches,Black,洛丽塔风服装,Brazil
131,19547,Men,2009,Sweatshirts,Blue,通勤风服装,South Africa
132,7964,Men,2011,Tshirts,Black,简约风服装,Thailand
133,36934,Women,2017,Perfume and Body Mist,Gold,田园风服装,United States of America
134,39140,Women,2013,Kurta Sets,Black,简约风服装,France
135,20851,Women,2015,Clutches,Red,民族风服装,Russia
136,41866,Men,2015,Sandals,Beige,通勤风服装,Brazil
137,58177,Women,2009,Handbags,Brown,田园风服装,China
138,44528,Men,2014,Sandals,Black,朋克风服装,Italy
139,16392,Men,2011,Shirts,Red,简约风服装,Brazil
140,51455,Women,2018,Shrug,Pink,简约风服装,South Africa
141,50587,Men,2013,Briefs,Grey,简约风服装,United States of America
142,17240,Men,2018,Tshirts,Black,嘻哈风服装,Germany
143,47530,Women,2009,Flats,Copper,朋克风服装,Russia
144,6617,Men,2009,Shirts,Black,民族风服装,Italy
145,12732,Unisex,2019,Backpacks,Black,田园风服装,France
146,3365,Men,2019,Tshirts,Black,嘻哈风服装,Singapore
147,42042,Men,2013,Sports Shoes,White,民族风服装,Germany
148,23849,Men,2019,Casual Shoes,Black,朋克风服装,Japan
149,43190,Women,2016,Watches,White,田园风服装,Australia
150,48578,Men,2014,Bracelet,Steel,朋克风服装,Mexico
151,30462,Women,2014,Bra,Black,田园风服装,Germany
152,18208,Men,2011,Caps,White,民族风服装,Thailand
153,54127,Women,2010,Heels,Black,民族风服装,Argentina
154,10065,Men,2018,Tshirts,Yellow,嘻哈风服装,Russia
155,24250,Men,2012,Casual Shoes,White,街头风服装,Singapore
156,32335,Men,2016,Watches,Silver,欧美风服装,United States of America
157,25382,Men,2016,Innerwear Vests,White,简约风服装,Australia
158,56670,Men,2016,Watches,Black,洛丽塔风服装,Canada
159,5092,Men,2011,Tshirts,Purple,简约风服装,Canada
160,10859,Men,2011,Tshirts,Navy Blue,简约风服装,United States of America
161,59638,Women,2009,Sarees,Green,简约风服装,Canada
162,15517,Men,2014,Casual Shoes,Red,朋克风服装,Argentina
163,4140,Women,2015,Casual Shoes,Green,街头风服装,United States of America
164,36795,Men,2013,Watches,Silver,洛丽塔风服装,Canada
165,40527,Men,2016,Watches,Gold,洛丽塔风服装,United States of America
166,10257,Men,2014,Trousers,Black,简约风服装,United States of America
167,24062,Men,2018,Tshirts,Navy Blue,嘻哈风服装,Canada
168,45869,Men,2016,Watches,Brown,洛丽塔风服装,Brazil
169,11385,Women,2010,Sweatshirts,Black,简约风服装,United States of America
170,53130,Women,2015,Flats,Brown,朋克风服装,Russia
171,44187,Women,2017,Perfume and Body Mist,White,洛丽塔风服装,Russia
172,21510,Women,2015,Handbags,White,田园风服装,India
173,51667,Men,2016,Sunglasses,Grey,欧美风服装,Australia
174,22395,Men,2011,Shirts,Blue,简约风服装,Russia
175,35322,Women,2016,Earrings,Silver,田园风服装,France
176,6425,Unisex,2011,Casual Shoes,Black,中性风服装,Australia
177,18806,Men,2011,Belts,Tan,田园风服装,India
178,23247,Men,2011,Formal Shoes,Black,朋克风服装,United States of America
179,17072,Women,2015,Belts,Grey,朋克风服装,Brazil
180,31782,Women,2013,Tops,Blue,简约风服装,Russia
181,42270,Unisex,2013,Casual Shoes,Black,朋克风服装,Italy
182,12500,Men,2018,Shirts,Black,嘻哈风服装,England
183,26735,Men,2017,Deodorant,Black,街头风服装,Argentina
184,30650,Men,2014,Tshirts,Black,嘻哈风服装,Russia
185,56026,Women,2017,Lipstick,Brown,街头风服装,China
186,21948,Women,2015,Handbags,Brown,田园风服装,Australia
187,32563,Women,2010,Trousers,Blue,简约风服装,Germany
188,58980,Women,2017,Deodorant,Pink,街头风服装,Mexico
